time;cpu;memory
Database startup;;1692394582586085;
1692394707995213;26.7;21304
1692394708153915;31.2;21304
1692394708443727;31.2;21304
1692394708718008;26.7;21292
1692394708876160;33.3;21296
1692394709123762;33.3;21296
1692394709400736;33.3;21296
1692394709559325;26.7;21296
1692394709719083;26.7;21296
1692394709887294;33.3;21296
1692394710045134;26.7;21296
1692394710241598;25.0;21308
1692394710424619;33.3;21308
1692394710636895;33.3;21312
1692394710881116;33.3;21312
1692394711120192;40.0;21312
1692394711365084;33.3;21320
1692394711576015;33.3;21320
1692394711818914;33.3;21316
1692394712072963;37.5;21316
1692394712314408;26.7;21316
1692394712542808;31.2;21316
1692394712701692;31.2;21316
1692394712946702;33.3;21316
1692394713161068;33.3;21320
1692394713370099;26.7;21324
1692394713584914;33.3;21324
1692394713835548;33.3;21324
1692394714056834;26.7;21248
1692394714270601;33.3;21252
1692394714485942;33.3;21256
1692394714705057;26.7;21256
1692394714950873;33.3;21260
1692394715176446;33.3;21260
1692394715413661;40.0;21260
1692394715650657;26.7;21260
1692394715975561;26.7;21256
1692394716166954;33.3;21260
1692394716383494;26.7;21260
1692394716568832;33.3;21260
1692394716727957;33.3;21264
1692394716965655;33.3;21264
1692394717205830;33.3;21264
1692394717436284;26.7;21268
1692394717667569;26.7;21268
1692394717897772;33.3;21268
1692394718143570;33.3;21268
1692394718368622;33.3;21268
1692394718590925;33.3;21272
1692394718849692;33.3;21276
1692394719105099;26.7;21276
1692394719336927;33.3;21276
1692394719567853;33.3;21276
1692394719808481;26.7;21272
1692394720055418;26.7;21272
1692394720278231;26.7;21272
1692394720511181;25.0;21288
1692394720737569;26.7;21288
1692394720980063;26.7;21292
1692394721227974;33.3;21276
1692394721477882;33.3;21276
1692394721744435;26.7;21276
1692394721916442;26.7;21276
1692394722114767;33.3;21276
1692394722314343;26.7;21280
1692394722507813;33.3;21280
1692394722705683;40.0;21288
1692394722896590;40.0;21288
1692394723072673;31.2;21288
1692394723245878;33.3;21292
1692394723419195;40.0;21292
1692394723608445;33.3;21292
1692394723781509;25.0;21264
1692394723954194;33.3;21260
1692394724127180;40.0;21268
1692394724474716;33.3;21268
1692394724642428;31.2;21272
1692394724856089;33.3;21272
1692394725062264;31.2;21272
1692394725279334;26.7;21272
1692394725480047;20.0;21272
1692394725709835;26.7;21272
1692394725907915;33.3;21272
1692394726078722;26.7;21272
1692394726265511;26.7;21272
1692394726446668;33.3;21256
1692394726612141;25.0;21256
1692394726783232;18.8;21256
1692394726949726;33.3;21256
1692394727110327;26.7;21260
1692394727283121;18.8;21260
1692394727458143;26.7;21260
1692394727617965;33.3;21260
1692394727785244;20.0;21216
1692394727944258;26.7;21216
1692394728104768;33.3;21220
1692394728266925;26.7;21220
1692394728429425;26.7;21220
1692394728699117;33.3;21224
1692394728967666;33.3;21048
1692394729125991;26.7;21064
1692394729397675;26.7;21064
1692394729665248;33.3;21068
1692394729937179;26.7;21068
1692394730194773;26.7;21068
1692394730463548;33.3;21068
1692394730734196;26.7;21068
1692394731012025;31.2;21068
1692394731171757;25.0;21072
1692394731476236;33.3;21076
1692394731733261;26.7;21076
1692394731892296;25.0;21076
1692394732050629;26.7;21076
1692394732231899;25.0;21076
1692394732485610;40.0;21080
1692394732750967;33.3;21056
1692394733023566;33.3;21056
1692394733281206;25.0;21056
1692394733543849;26.7;21056
1692394733702788;25.0;21056
1692394733950368;33.3;21060
1692394734209638;26.7;21060
1692394734471665;25.0;21064
1692394734730420;26.7;21064
1692394734988526;26.7;21064
1692394735249451;33.3;21068
1692394735524705;33.3;21068
1692394735684866;26.7;21068
1692394735937502;26.7;21072
1692394736197564;26.7;21072
1692394736468738;26.7;21072
1692394736634517;33.3;21064
1692394736796424;33.3;21068
1692394737055325;26.7;21068
1692394737314390;33.3;21068
1692394737587889;26.7;21068
1692394737745924;26.7;21068
1692394737903841;26.7;21068
1692394738070991;26.7;21068
1692394738269334;33.3;21068
1692394738483977;26.7;21068
1692394738647039;40.0;21072
1692394738863338;31.2;21072
1692394739121818;31.2;21076
1692394739397996;33.3;21076
1692394739663841;26.7;21028
1692394739822547;25.0;21032
1692394739980875;26.7;21032
1692394740230393;33.3;21032
1692394740500838;33.3;21032
1692394740768341;26.7;21032
1692394741034665;26.7;21032
1692394741277239;33.3;21032
1692394741520745;40.0;21032
1692394741769073;33.3;21040
1692394742020462;26.7;21040
1692394742264528;33.3;21044
1692394742535350;33.3;21056
1692394742693224;31.2;21056
1692394742948621;26.7;21056
1692394743203098;25.0;21012
1692394743450013;33.3;21020
1692394743705131;26.7;21024
1692394743963674;33.3;21024
1692394744231283;25.0;20968
1692394744499800;26.7;20976
1692394744658369;26.7;20976
1692394744871722;25.0;20980
1692394745049863;33.3;20980
1692394745208072;26.7;20980
1692394745688332;26.7;20980
1692394746487934;33.3;20936
1692394746652914;31.2;20940
1692394746810594;33.3;20944
1692394746987245;40.0;20948
1692394747159694;33.3;20948
1692394747317199;40.0;20948
1692394747488508;40.0;20948
1692394747647707;33.3;20948
1692394747823301;40.0;20952
1692394748001679;37.5;20952
1692394748160379;40.0;20952
1692394748318845;40.0;20960
1692394748476432;33.3;20960
1692394748634314;40.0;20960
1692394748797372;40.0;20960
1692394748955315;40.0;20964
1692394749113171;37.5;20964
1692394749270967;46.7;20964
1692394749429286;40.0;20968
1692394749589142;40.0;20968
1692394749746911;40.0;20968
1692394749917659;40.0;20968
1692394750426373;33.3;20972
1692394750745143;26.7;20960
1692394751049083;26.7;20960
1692394751283119;31.2;20880
1692394751507817;26.7;20884
1692394751791931;26.7;20884
1692394751951798;31.2;20884
1692394752258739;26.7;20884
1692394752574446;33.3;20884
1692394752780480;33.3;20876
1692394753018628;20.0;20868
1692394753352027;25.0;20876
1692394753540575;33.3;20876
1692394753747443;26.7;20880
1692394754084954;26.7;20880
1692394754358467;33.3;20880
1692394754642448;31.2;20880
1692394754882009;20.0;20880
1692394755087961;31.2;20880
1692394755246106;26.7;20884
1692394755441513;25.0;20884
1692394755695958;26.7;20884
1692394755854962;26.7;20884
1692394756036646;40.0;20884
1692394756204740;33.3;20884
1692394756442315;25.0;20884
1692394756640841;33.3;20888
1692394756811178;26.7;20888
1692394756976370;26.7;20888
1692394757156797;33.3;20888
1692394757339333;33.3;20888
1692394757568986;26.7;20888
1692394757729308;26.7;20888
1692394757893862;33.3;20892
1692394758086632;33.3;20884
1692394758314844;26.7;20884
1692394758584156;33.3;20884
1692394758854320;33.3;20884
1692394759123826;25.0;20876
1692394759409371;26.7;20880
1692394759575348;20.0;20884
1692394759772524;31.2;20884
1692394759984013;33.3;20884
1692394760144463;26.7;20884
1692394760354991;33.3;20852
1692394760598319;26.7;20852
1692394760853282;25.0;20856
1692394761078213;33.3;20856
1692394761301668;26.7;20856
1692394761524996;33.3;20856
1692394761749217;26.7;20856
1692394761907715;26.7;20856
1692394762128129;26.7;20860
1692394762348425;33.3;20860
1692394762578842;26.7;20860
1692394762806685;33.3;20860
1692394763049143;33.3;20860
1692394763275658;40.0;20860
1692394763505284;26.7;20860
1692394763726858;26.7;20860
1692394763936099;40.0;20860
1692394764150015;33.3;20860
1692394764375488;33.3;20864
1692394764593561;33.3;20864
1692394764846823;40.0;20868
1692394765010178;26.7;20872
1692394765246261;40.0;20876
1692394765404548;33.3;20876
1692394765575329;26.7;20876
1692394765800922;37.5;20876
1692394766031435;55.6;20876
1692394766297306;26.7;20876
1692394766539100;33.3;20876
1692394766785158;40.0;20876
1692394767035471;33.3;20876
1692394767260801;26.7;20876
1692394767492005;31.2;20876
1692394767722119;25.0;20876
1692394767950165;26.7;20880
1692394768183678;33.3;20880
1692394768439780;33.3;20880
1692394768682493;25.0;20880
1692394768913787;33.3;20880
1692394769143882;25.0;20836
1692394769372832;31.2;20836
1692394769595867;26.7;20844
1692394769849887;26.7;20844
1692394770071758;37.5;20844
1692394770291682;25.0;20848
1692394770532679;31.2;20848
1692394770691108;33.3;20852
1692394770949162;33.3;20852
1692394771196014;33.3;20852
1692394771354434;26.7;20852
1692394771523458;25.0;20852
1692394771705955;26.7;20852
1692394771902783;31.2;20852
1692394772096728;33.3;20852
1692394772282298;31.2;20856
1692394772475237;40.0;20856
1692394772645409;33.3;20860
1692394772821171;33.3;20860
1692394772993072;31.2;20860
1692394773156194;33.3;20860
1692394773323133;31.2;20860
1692394773491519;31.2;20860
1692394773672085;31.2;20860
1692394773830132;53.3;20860
1692394773989354;60.0;20864
1692394774148207;53.3;20864
1692394774306210;66.7;20864
1692394774465204;60.0;20868
1692394774626074;53.3;20868
1692394774784426;53.3;20868
1692394774956769;60.0;20868
1692394775114856;60.0;20868
1692394775273422;56.2;20868
1692394775431903;62.5;20872
1692394775590235;60.0;20872
1692394775748929;60.0;20872
1692394775907279;60.0;20872
1692394776065219;60.0;20872
1692394776224375;60.0;20872
1692394776382410;62.5;20872
